x_acc,y_acc,z_acc,x_rot,y_rot,z_rot
-0.839296,0.195793,1.320979,0.523743,-0.212358,-0.382938
-0.822239,0.552420,0.882157,-0.075469,0.445536,-0.269275
-0.378241,0.685191,0.502784,0.178944,0.395906,-0.064929
-0.306651,0.458903,-0.221776,-0.077966,0.593594,-0.096808
-0.533867,0.551537,0.828269,0.096822,0.384546,-0.168130
-0.019311,-0.164126,0.805121,-0.001306,0.057756,-0.331069
0.386708,-0.303184,0.608073,0.734064,-0.802593,-0.586399
-0.081800,-0.520561,0.569987,0.002665,-0.744675,-0.102020
-0.165764,-0.915136,0.492913,-0.137517,-0.155604,0.157627
0.034905,-0.461125,0.945903,0.219025,-0.081050,0.154748
-0.185339,-0.134506,0.274420,0.801834,0.230648,0.512389
-0.475979,0.395110,0.666562,0.670943,-0.019297,0.806968
-0.494288,0.658089,0.829214,1.064214,0.285578,0.143071
-0.579022,0.435804,0.912903,1.229057,-0.227498,-0.865711
-0.865258,-0.356577,0.751537,1.456915,-0.444242,-0.634183
-0.185573,-0.688750,1.202863,1.423577,-0.122521,-0.600740
0.157152,-1.202227,1.403490,1.040628,-0.026476,-0.767618
0.369857,-1.400749,0.840379,0.733936,0.053157,-0.317938
-0.056190,-1.054326,0.947927,0.520159,1.006444,0.210310
-0.465796,-0.463563,0.644435,-0.409907,0.934244,-0.497158
-0.251337,0.231238,0.141131,-0.496192,0.891573,-0.982147
0.546147,0.290678,0.064049,-0.217822,0.139969,-0.412565
0.435097,-0.478293,0.064374,-0.452474,-0.636501,-0.003978
-0.183993,-0.593183,0.695088,-0.839355,-0.813152,-0.037295
-0.315566,-0.790446,0.497147,-1.460348,0.000796,-0.541144
-0.428803,-0.137207,0.492113,-1.660566,1.189643,-0.509968
-0.251367,0.382540,0.704884,-1.745036,0.971441,-1.079467
-0.007513,0.035223,0.423502,-1.735721,0.427161,-1.197250
0.245444,-0.500135,-0.563403,-1.196260,0.715277,-0.953547
0.313104,-0.008065,-0.861800,-0.266604,0.503775,-0.122299
0.662910,0.802015,-0.360056,0.277005,0.363517,-0.103507
0.328956,0.644116,-0.263890,1.391491,-0.342390,-0.248533
0.246950,0.110065,0.422827,0.633396,-0.239099,-0.139070
